,1,2,3,4,5,6,7,8,9,PlayerX,PlayerO,Winner,WinnerType
0,X,X,X,O,O,X,X,O,O,Bot,Bot,X,Bot
1,X,O,O,O,X,X,O,X,X,Bot,Bot,X,Bot
2,X,X,O,O,,O,X,X,O,Bot,Bot,O,Bot
3,X,X,O,O,X,O,,X,,Bot,Bot,X,Bot
4,O,X,O,X,X,X,X,O,O,Bot,Bot,X,Bot
5,,O,O,X,,O,X,X,X,Bot,Bot,X,Bot
6,O,X,X,X,O,X,O,O,X,Bot,Bot,X,Bot
7,X,X,O,O,X,X,X,O,O,Bot,Bot,D,
8,X,,O,X,O,X,O,,,Bot,Bot,O,Bot
9,X,X,X,,,O,,O,,Bot,Bot,X,Bot
10,X,O,X,O,,X,,O,X,Bot,Bot,X,Bot
11,X,O,,X,O,X,O,O,X,Bot,Bot,O,Bot
12,,O,X,O,,X,X,O,X,Bot,Bot,X,Bot
13,O,X,,O,X,X,O,O,X,Bot,Bot,O,Bot
14,O,,,O,,X,O,X,X,Bot,Bot,O,Bot
15,O,,,O,O,X,X,X,X,Bot,Bot,X,Bot
16,X,,,X,O,,X,O,,Human,Bot,X,Human
17,O,,,X,O,,X,X,O,Bot,Human,O,Human
18,O,X,,O,X,X,O,,,Bot,Human,O,Human
19,X,O,X,X,O,O,O,X,X,Bot,Human,D,
20,X,O,O,,X,O,X,X,O,Bot,Bot,O,Bot
21,,O,O,X,O,,X,X,X,Human,Bot,X,Human
22,X,X,X,X,O,,,O,O,Bot,Bot,X,Bot
